dataName,friendlyName,orgType,tier,homeRegionMapTemplateName,randomized,takeoverDefense,allowedOnMarket,requiresNationality,requiredOwnerTraits/0,affinities/0,restricted/0,costMoney,costInfluence,costOps,chanceIncomeMoney,incomeMoney,chanceIncomeInfluence,incomeInfluence,chanceEspionage,espionage,chanceSecurity,security,chanceSpoilsBonus,spoilsBonus,iconResource,chanceIncomeOps,incomeOps,chanceInvestigation,investigation,chanceOppressionBonus,oppressionBonus,missionsGrantedNames/0,missionsGrantedNames/1,missionsGrantedNames/2,missionsGrantedNames/3,chanceCommand,command,minScenarioYear,chanceIncomeResearch,incomeResearch,chanceSpaceDevBonus,spaceDevBonus,chanceSpaceflightBonus,spaceflightBonus,chanceMCBonus,MCBonus,chanceMiningBonus,miningBonus,techBonuses/0/category,techBonuses/0/bonus,affinities/1,restricted/1,restricted/2,restricted/3,chancePersuasion,persuasion,grantsMarked,chanceAdministration,administration,chanceScience,science,chanceUnityBonus,unityBonus,chanceKnowledgeBonus,knowledgeBonus,prohibitedOwnerTraits/0,projectsGranted,chanceMilitaryBonus,militaryBonus,chanceIncomeMissionControl,incomeMissionControl,chanceEconomyBonus,economyBonus,chanceIncomeBoost,incomeBoost,chanceEnvironmentBonus,environmentBonus,chanceWelfareBonus,welfareBonus,restricted/4,restricted/5,restricted/6,randCostMoney,randIncomeMoney,requiredTechName,randOppressionBonus,randIncomeOps,randCostInfluence,randCommand,randEspionage,randMilitaryBonus,randSpaceflightBonus,randMCBonus,randIncomeBoost,randIncomeMissionControl,randIncomeResearch,randSpaceDevBonus,randScience,randAdministration,randInvestigation,randSecurity,randIncomeInfluence,randEconomyBonus,randSpoilsBonus,randKnowledgeBonus,randWelfareBonus,randUnityBonus,randPersuasion,chanceGovernmentBonus,governmentBonus,randGovernmentBonus,randCostOps,randEnvironmentBonus,costBoost,randCostBoost,randMiningBonus,affinities/2
MinistryofStateSecurity,Ministry of State Security,Security,3,map_Beijing,false,6,true,true,Government,,,,300,,100,-220,100,1,100,3,100,3,,,orglogos/MinistryofStateSecurity,100,4,100,2,100,0.03,InvestigateCouncilor,Detain,DetectCouncilActivity,Crackdown,,,,,,,,,,,,,,,,,,,,,,true,100,6,100,1,100,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CyberspaceAdministrationofChina,Cyberspace Administration of China,Security,3,map_Beijing,false,6,true,true,Government,,,,150,,100,-105,100,3,,,,,,,orglogos/CyberspaceAdministrationofChina,,,100,2,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,100,3,,,100,0.05,100,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InternationalDepartment,International Department,Investigations,2,map_Beijing,false,4,true,true,Government,,,,180,,100,-20,100,2,,,100,1,,,orglogos/InternationalDepartment,,,100,2,,,Propaganda,InvestigateCouncilor,,,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeaDragon,Sea Dragon,Security,2,map_Beijing,false,,true,true,Government,,,,100,,100,-1,,,,,100,2,,,orglogos/SeaDragon,100,2,,,,,Protect,Stabilize,AssaultAlienAsset,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnowLeopardCommandoGroup,Snow Leopard Commando Group,Security,2,map_Beijing,false,,true,true,Government,,,,120,,100,-1,,,,,100,2,,,orglogos/SnowLeopardCommandoGroup,100,3,100,2,,,Stabilize,Protect,Detain,AssaultAlienAsset,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StateSecurityCommittee,State Security Committee,Security,1,map_Belarus,false,6,true,true,Government,,,,260,,100,-5,100,1,100,1,100,2,,,orglogos/StateSecurityCommittee,100,1,100,1,100,0.02,InvestigateCouncilor,Detain,DetectCouncilActivity,,,,1991,,,,,,,,,,,,,,,,,,,,,,,,100,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sûretédel'État,Sûreté de l'État,Security,1,map_Belgium,false,6,true,true,Government,,,,200,,100,-10,,,100,1,100,2,,,orglogos/Sûretédel'État,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SecurityandIntelligenceAgencySerbia,Security and Intelligence Agency (Serbia),Security,1,map_Belgrade,false,6,true,true,Government,,,,200,,100,-6,,,100,1,100,1,,,orglogos/SecurityandIntelligenceAgencySerbia,100,2,100,1,100,0.01,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,2002,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SerbianMafia,Serbian Mafia,Criminal,1,map_Belgrade,false,-1,true,true,Criminal,Exploit,Cooperate,30,20,5,100,20,,,100,1,,,100,0.03,orglogos/SerbianMafia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SerbianCobras,Serbian Cobras,Security,1,map_Belgrade,false,,true,true,Government,,,,100,,100,-1,,,,,100,2,,,orglogos/SerbianCobras,100,1,,,,,AssaultAlienAsset,Protect,Extract,Detain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirectorateofIntelligenceandSecurity,Directorate of Intelligence and Security,Security,1,map_Botswana,false,6,true,true,Government,,,,40,,100,-3,,,,,100,1,,,orglogos/DirectorateofIntelligenceandSecurity,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,2007,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrazilianIntelligenceAgency,Brazilian Intelligence Agency,Security,2,map_Brasilia,false,6,true,true,Government,,,,150,,100,-40,,,100,2,100,2,,,orglogos/BrazilianIntelligenceAgency,100,1,100,2,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StateIntelligenceAgency,State Intelligence Agency,Security,1,map_Bulgaria,false,6,true,true,Government,,,,100,,100,-5,,,100,1,100,1,,,orglogos/StateIntelligenceAgency,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Propaganda,,,,2015,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StateAgencyforNationalSecurity,State Agency for National Security,Investigations,1,map_Bulgaria,false,6,true,true,Government,,,,100,,100,-5,,,,,100,1,,,orglogos/StateAgencyforNationalSecurity,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,2008,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LawrenceLivermoreNationalLaboratory,Lawrence Livermore National Laboratory,Research,3,map_California,false,5,true,true,,,,,200,,100,-41,,,,,,,,,orglogos/LLNL,0,,,,,,,,,,,,,100,35,,,,,,,,,Energy,0.1,,,,,,,,,,100,2,,,,,Criminal,1,100,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JetPropulsionLaboratory,Jet Propulsion Laboratory,Research,3,map_California,false,,true,true,,Cooperate,,,150,,100,-45,,,,,,,,,orglogos/JPL,,,,,,,,,,,,,,100,40,100,0.02,100,0.03,,,,,SpaceScience,0.15,,,,,,,,,,100,2,,,100,0.01,Criminal,1,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stU.S.SpecialForcesGroup,1st U.S. Special Forces Group,Security,2,map_Cascadia,false,3,true,true,Government,Resist,,,100,,100,-2,,,,,100,2,,,orglogos/1SFG,100,3,,,,,Unrest,Stabilize,AssaultAlienAsset,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agencenationaledesecurite,Agence nationale de sécurité,Security,1,map_Chad,false,6,true,true,Government,,,,20,,100,-1,,,,,100,1,,,orglogos/Agencenationaledesecurite,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaAcademyofEngineeringPhysics,China Academy of Engineering Physics,Research,2,map_Chongqing,false,5,true,true,,,,,50,,100,-25,,,,,,,,,orglogos/ChinaAcademyofEngineeringPhysics,,,,,,,,,,,,,1958,100,15,,,,,,,,,Energy,0.1,,,,,,,,,,100,2,,,,,Criminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HunanBroadcastingSystem,Hunan Broadcasting System,Influence,2,map_Chongqing,false,,true,true,Government,,,36,75,,,,100,4,,,,,,,orglogos/HunanBroadcastingSystem,,,,,,,,,,,,,2010,,,,,,,,,,,,,,,,,100,2,,,,,,,,100,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiberianTigers,Siberian Tigers,Security,2,map_Chongqing,false,,true,true,Government,,,,70,,100,-1,,,100,1,100,2,,,orglogos/SiberianTigers,100,2,,,,,Extract,Detain,Stabilize,AssaultAlienAsset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DireccionNacionaldeInteligencia,Dirección Nacional de Inteligencia,Security,2,map_Colombia,false,6,true,true,Government,,,,120,,100,-5,,,100,1,100,2,,,orglogos/DireccionNacionaldeInteligencia,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,2011,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SecurityandIntelligenceAgency,Security and Intelligence Agency,Security,1,map_CroatiaSlovenia,false,6,true,true,Government,,,,80,,100,-5,,,100,1,100,1,,,orglogos/SecurityandIntelligenceAgency,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,2006,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DireccionGeneraldeInteligencia,Dirección General de Inteligencia,Security,1,map_Cuba,false,6,true,true,Government,,,,80,,100,-5,100,1,100,1,100,1,,,orglogos/DireccionGeneraldeInteligencia,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SecurityInformationService,Security Information Service,Security,1,map_Czechia,false,6,true,true,Government,,,,60,,100,-5,,,100,1,100,1,,,orglogos/SecurityInformationService,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1994,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DanishSecurityandIntelligenceService,Danish Security and Intelligence Service,Security,1,map_Denmark,false,6,true,true,Government,,,,100,,100,-5,,,100,1,100,2,,,orglogos/DanishSecurityandIntelligenceService,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1951,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JaegerCorps,Jaeger Corps,Security,1,map_Denmark,false,,true,true,Government,,,,100,,100,-1,,,,,100,2,,,orglogos/JaegerCorps,100,1,,,,,AssaultAlienAsset,Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirForceSpecialOperationsCommand,Air Force Special Operations Command,Security,2,map_Dixie,false,5,true,true,Government,,,,80,,100,-4,,,,,100,1,,,orglogos/AFSOC,100,3,,,,,Extract,,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7thU.S.SpecialForcesGroup,7th U.S. Special Forces Group,Security,2,map_Dixie,false,3,true,true,Government,Resist,,,100,,100,-2,,,,,100,2,,,orglogos/7SFG,100,3,,,,,Unrest,Stabilize,AssaultAlienAsset,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesnachrichtendienst,Bundesnachrichtendienst,Security,2,map_EastGermany,false,6,true,true,Government,,,,200,,100,-30,,,100,1,100,1,,,orglogos/Bundesnachrichtendienst,100,1,100,2,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GihazElMukhabaratElAmma,Gihaz El Mukhabarat El Amma,Security,2,map_Egypt,false,3,true,true,Government,,,,120,,100,-10,,,100,2,100,2,,,orglogos/EgyptianIntelligence,100,1,100,2,,,InvestigateCouncilor,DetectCouncilActivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sa'kaForces,Sa'ka Forces,Security,1,map_Egypt,false,,true,true,Government,,,,100,,100,-1,,,,,100,2,,,orglogos/Sa'ka_Forces,100,1,,,,,AssaultAlienAsset,Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SecretIntelligenceService,Secret Intelligence Service,Security,3,map_England,false,6,true,true,Government,,,,250,,100,-50,,,100,3,100,2,,,orglogos/MI6,100,2,100,2,,,InvestigateCouncilor,DetectCouncilActivity,Stabilize,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NationalCrimeAgency,National Crime Agency,Investigations,2,map_England,false,6,true,true,Government,,,,200,,100,-45,,,,,100,2,,,orglogos/NationalCrimeAgency,100,1,100,3,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,2013,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SecurityService,Security Service,Investigations,2,map_England,false,6,true,true,Government,,,,200,,100,-50,,,100,1,100,2,,,orglogos/MI5,100,1,100,3,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpecialAirService,Special Air Service,Security,2,map_England,false,6,true,true,Government,,,,200,,100,-2,,,,,100,1,,,orglogos/UKSAS,100,3,,,,,Extract,Detain,AssaultAlienAsset,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GovernmentCommunicationsHeadquarters,Government Communications Headquarters,Investigations,2,map_England,false,6,true,true,Government,,,,200,,100,-20,,,100,1,,,,,orglogos/GCHQ,,,100,2,,,InvestigateCouncilor,DetectCouncilActivity,,,,,,,,,,,,,,,,,,,,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpecialBoatService,Special Boat Service,Security,2,map_England,false,,true,true,Government,,,,100,,100,-1,,,,,100,2,,,orglogos/UKSpecialBoatService,100,1,,,,,Extract,AssaultAlienAsset,Protect,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NationalIntelligenceandSecurityService,National Intelligence and Security Service,Investigations,2,map_Ethiopia,false,4,true,true,Government,,,,125,,100,-2,100,2,100,1,100,1,,,orglogos/NISS,100,1,100,2,,,DefendInterests,Stabilize,DetectCouncilActivity,,100,1,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgaziCommandos,Agazi Commandos,Security,1,map_Ethiopia,false,,true,true,Government,,,,100,,100,-1,,,,,100,2,,,orglogos/AgaziCommandos,100,1,,,,,AssaultAlienAsset,Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinnishSecurityandIntelligenceService,Finnish Security and Intelligence Service,Security,1,map_Finland,false,6,true,true,Government,,,,100,,100,-4,,,100,1,100,1,,,orglogos/FinnishSecurityandIntelligenceService,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1948,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BundesamtfurVerfassungsschutz,Bundesamt für Verfassungsschutz,Security,2,map_Germany,false,6,true,true,Government,,,,200,,100,-20,,,100,1,100,2,,,orglogos/BundesamtfurVerfassungsschutz,100,1,100,3,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1950,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSG9derBundespolizei,GSG 9 der Bundespolizei,Security,2,map_Germany,false,6,true,true,Government,,,,200,,100,-2,,,,,100,2,,,orglogos/GSG9,100,2,100,1,,,Extract,Detain,Protect,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SouthernSword,Southern Sword,Security,2,map_Guangzhou,false,,true,true,Government,,,,80,,100,-1,,,100,1,100,2,,,orglogos/SouthernSword,100,3,,,,,Extract,Detain,Stabilize,AssaultAlienAsset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HongKongTriad,Hong Kong Triad,Criminal,3,map_HongKong,false,-3,true,true,Criminal,Exploit,Cooperate,100,120,10,100,45,100,1,100,2,100,2,100,0.04,orglogos/HongKongTriad,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CriminalIntelligenceBureau,Criminal Intelligence Bureau,Security,2,map_HongKong,false,6,true,true,Government,,,,180,,100,-20,,,,,100,1,,,orglogos/CriminalIntelligenceBureau,,,100,2,100,0.02,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
